purpose,installment,dti
all_other,102.06,2.57
debt_consolidation,490.03,18.92
credit_card,399.72,3.67
credit_card,594.39,18.83
debt_consolidation,107.89,17.18
all_other,529.75,7.77
small_business,322.11,11.78
credit_card,45.73,21.84
debt_consolidation,681.43,14.57
debt_consolidation,293.93,12.3
educational,197.18,2.34
all_other,233.01,11.36
debt_consolidation,411.89,4.95
home_improvement,326.59,2.88
small_business,536.95,21.82
credit_card,323.62,13.32
all_other,229.06,13.56
debt_consolidation,332.58,19.01
debt_consolidation,399.09,11.25
debt_consolidation,687.13,9.48
small_business,222.83,0.73
small_business,662.19,0.22
debt_consolidation,447.68,21.76
educational,165.55,14.77
debt_consolidation,677.36,18.56
credit_card,388.34,6.88
debt_consolidation,230.7,8.74
small_business,869.7,6.82
debt_consolidation,571.64,19.13
small_business,207.85,14.34
home_improvement,255.82,14.84
all_other,199.89,6.27
debt_consolidation,399.09,23.61
home_improvement,225.62,7.29
all_other,66.94,19.2
credit_card,423.28,1.38
credit_card,897.06,3.94
debt_consolidation,282.69,10.1
all_other,170.09,9.03
small_business,458.85,6.24
credit_card,383.73,10.55
home_improvement,319.47,0.45
all_other,94.4,11.62
debt_consolidation,668.21,7.66
debt_consolidation,827.74,10.2
debt_consolidation,551.28,11.47
credit_card,236,13.77
debt_consolidation,202.69,9.63
all_other,41.39,0.75
all_other,130.03,5.07
debt_consolidation,207.85,13.42
all_other,590.65,12.14
credit_card,62.68,13.38
all_other,59.7,22.28
debt_consolidation,515.74,20.01
debt_consolidation,718.81,5.19
debt_consolidation,234.27,19.45
home_improvement,273.19,9.1
debt_consolidation,520.37,10.63
debt_consolidation,594.36,13.39
credit_card,399.78,23.69
major_purchase,77.98,17.59
credit_card,306.98,14.54
credit_card,377.95,21.93
small_business,171.15,13.77
all_other,89.46,23.86
educational,49.75,24.63
all_other,266.52,13.29
credit_card,319.47,16.64
small_business,305.38,14.47
major_purchase,192.57,1.76
educational,402.53,8.55
educational,69.97,19.68
all_other,127.79,6.76
debt_consolidation,134.48,17.68
credit_card,248.73,16.89
credit_card,226.97,19.37
debt_consolidation,340.76,21.63
debt_consolidation,709.18,15.02
debt_consolidation,184.88,7.85
debt_consolidation,247.61,14.52
debt_consolidation,34.39,7.39
small_business,294.43,12.78
debt_consolidation,235.61,14.24
debt_consolidation,84.24,21.6
small_business,420.02,22.68
debt_consolidation,160.48,14.88
all_other,215.42,3.06
educational,334.67,18.5
home_improvement,100.4,10.55
credit_card,102.71,11.27
major_purchase,268.95,20.23
credit_card,805.67,24.5
credit_card,168.24,7.75
debt_consolidation,712.54,13.61
home_improvement,416.3,11.85
small_business,185.74,9.59
credit_card,288.85,7.47
debt_consolidation,169.91,11.64
debt_consolidation,693.83,16.74
debt_consolidation,446.98,16.46
all_other,79.96,7.52
debt_consolidation,45.81,21.09
small_business,62.68,0.71
small_business,350.02,7.03
small_business,200.47,15.02
debt_consolidation,240.68,15.25
debt_consolidation,645.47,20.21
debt_consolidation,513.44,15.99
debt_consolidation,350.34,19.15
debt_consolidation,67.24,11.97
debt_consolidation,32.1,6.16
debt_consolidation,313.37,23.01
all_other,159.74,0.36
small_business,333.15,10.76
credit_card,232.15,7.52
debt_consolidation,316.42,15.75
credit_card,280.02,22.49
credit_card,277.53,12.07
small_business,836.66,13.74
debt_consolidation,266.52,21.87
all_other,159.92,3.99
home_improvement,328.64,6.15
all_other,264.11,9.48
debt_consolidation,345.37,18.71
small_business,253.28,21.5
debt_consolidation,342.29,21.32
small_business,326.99,10.07
debt_consolidation,396.17,3.53
educational,319.47,7.81
debt_consolidation,239.91,15.51
small_business,327.37,15.46
all_other,101.32,14.08
all_other,49.98,21.15
all_other,235.54,11.93
educational,97.98,0
all_other,339.23,20.83
credit_card,328.64,4.16
debt_consolidation,328.64,17.73
small_business,840.45,5.52
credit_card,345.37,16.33
debt_consolidation,320.95,22.97
debt_consolidation,328.64,12.2
major_purchase,280.62,20.75
home_improvement,261.71,7.1
debt_consolidation,550.13,18.12
credit_card,40.9,5.18
debt_consolidation,135.7,8.55
small_business,255.58,1.08
credit_card,194.7,17.12
all_other,368.13,1.62
debt_consolidation,487.46,14.24
debt_consolidation,481.42,9.62
all_other,306.69,8.52
debt_consolidation,260.66,20.14
major_purchase,55.51,14.15
debt_consolidation,394.36,21.41
credit_card,37.63,7.75
debt_consolidation,165.82,1.62
debt_consolidation,495.21,10.51
all_other,254.42,21.3
debt_consolidation,337.71,21.34
all_other,94.99,16.71
debt_consolidation,416.72,13.28
debt_consolidation,262.43,19.06
debt_consolidation,136.31,1.52
debt_consolidation,511.14,7.12
credit_card,175.71,16.23
educational,159.74,18.75
home_improvement,127.79,20.5
small_business,396.17,10.99
educational,160.48,14.02
debt_consolidation,131.46,8.77
debt_consolidation,378.23,4.48
credit_card,435.07,14.38
home_improvement,83.67,10.92
all_other,37.61,7.26
all_other,85.19,23.82
all_other,49.75,18.13
debt_consolidation,255.58,8.48
debt_consolidation,383.37,8.68
small_business,506.56,14.34
credit_card,192.57,6.14
debt_consolidation,464.3,11.46
credit_card,433.1,16.04
all_other,167.34,15.21
debt_consolidation,470.66,22.06
small_business,499.73,15.02
major_purchase,223.63,12.82
debt_consolidation,229.34,23.67
all_other,50.2,20.75
small_business,49.89,11.62
debt_consolidation,266.52,14.58
small_business,154.06,7.38
debt_consolidation,319.47,11.02
small_business,427.23,14.05
debt_consolidation,164.02,4.33
debt_consolidation,345.37,18.3
major_purchase,37.61,18.78
debt_consolidation,219.36,5.1
all_other,95.85,18.01
debt_consolidation,171.15,12.11
educational,506.56,7.28
debt_consolidation,351.42,6.43
credit_card,285.76,10.62
credit_card,626.32,13.07
credit_card,470.66,15.53
all_other,165.82,5.47
debt_consolidation,62.68,10.51
small_business,504.27,20.69
all_other,39.62,24.37
all_other,282.63,2.88
debt_consolidation,407.08,10.05
home_improvement,164.3,10.64
debt_consolidation,522.7,5.84
debt_consolidation,366.47,14.97
all_other,464.3,10.33
all_other,462.19,13.99
small_business,481.42,8.44
all_other,319.47,3.83
all_other,261.71,7.68
debt_consolidation,228.76,11.08
debt_consolidation,409.16,8.32
debt_consolidation,138.77,12.7
small_business,495.21,13.27
credit_card,529.71,6.55
debt_consolidation,315.49,18.31
debt_consolidation,164.91,22.8
debt_consolidation,435.54,10.26
debt_consolidation,499.73,6.58
major_purchase,66.03,16.17
debt_consolidation,486.11,11.42
major_purchase,293.91,8.35
all_other,148.56,8.48
debt_consolidation,513.44,16.8
debt_consolidation,403.42,19.57
debt_consolidation,77.98,0.38
credit_card,288.85,18.41
debt_consolidation,265.32,17.24
credit_card,187.42,14.42
credit_card,407.51,10.01
debt_consolidation,328.64,4.49
debt_consolidation,384.87,15.91
debt_consolidation,261.71,23.25
all_other,240.96,9.12
educational,508.84,12.93
all_other,260.19,9.08
debt_consolidation,130.86,22.46
credit_card,237.78,19.2
debt_consolidation,284.47,9.27
debt_consolidation,414.08,18.15
small_business,44.73,24.98
debt_consolidation,320.95,6.31
debt_consolidation,405.25,7.97
home_improvement,495.21,0.13
small_business,492.95,3.31
debt_consolidation,268.95,18.6
credit_card,155.96,15.29
small_business,514.27,3.48
debt_consolidation,260.19,15.06
all_other,208.62,9.18
credit_card,99.5,20.63
credit_card,95.85,6.6
all_other,312.23,17.72
debt_consolidation,506.56,21.9
all_other,82.54,4.81
small_business,192.57,6.35
all_other,96.29,14.4
all_other,320.95,3.27
all_other,127.18,20.14
credit_card,264.11,6.89
debt_consolidation,187.15,8.4
debt_consolidation,162.83,21.8
all_other,273.84,12.59
credit_card,502,16.16
credit_card,296.82,21.24
all_other,159.74,14.16
debt_consolidation,518.06,22.1
credit_card,515.74,13.7
debt_consolidation,397.97,19.64
all_other,170.38,6
debt_consolidation,58.76,19.06
small_business,339.23,13.85
debt_consolidation,405.25,19.55
small_business,520.37,17.72
debt_consolidation,343.83,22.43
debt_consolidation,328.64,11.61
home_improvement,138.66,22.09
debt_consolidation,288.85,7
credit_card,499.73,14.96
debt_consolidation,255.58,10.73
credit_card,346.92,20.64
small_business,506.56,4.06
credit_card,169.14,16.11
debt_consolidation,281.12,1.85
credit_card,100.28,8.6
debt_consolidation,342.29,14.45
debt_consolidation,190.83,9.07
debt_consolidation,397.97,14.88
all_other,319.47,1.78
major_purchase,245.36,14.72
credit_card,155.42,13.94
home_improvement,481.42,12.19
debt_consolidation,511.14,9.17
debt_consolidation,53.31,18.14
debt_consolidation,490.71,8.14
all_other,515.74,14.26
all_other,410.75,7.21
small_business,34.54,1.2
educational,333.15,11.42
debt_consolidation,119.94,10.56
all_other,134.18,8.52
educational,176.52,15.63
all_other,82.54,14.51
debt_consolidation,299.84,1.81
credit_card,320.95,11.24
credit_card,276.92,1.92
debt_consolidation,204.46,5.34
debt_consolidation,152.97,21.18
debt_consolidation,330.14,8.32
small_business,255.57,4.18
small_business,328.64,15.68
educational,169.62,12.15
all_other,224.66,14.05
debt_consolidation,508.84,13.61
credit_card,441,21.11
debt_consolidation,206.3,13.57
all_other,136.31,15.47
educational,54.53,14.68
home_improvement,383.37,4.69
small_business,502,15.83
debt_consolidation,522.7,18.12
debt_consolidation,497.46,17.64
major_purchase,202.63,7.4
small_business,490.71,1.07
debt_consolidation,222.49,21.15
credit_card,180.19,2.59
credit_card,171.15,6.84
home_improvement,481.42,4.08
debt_consolidation,319.47,5.93
debt_consolidation,199.89,20.43
debt_consolidation,466.41,14.38
debt_consolidation,345.07,3.61
all_other,82.52,12.38
debt_consolidation,495.21,22.37
all_other,115.95,7.84
credit_card,495.21,21.86
all_other,276.06,1.4
debt_consolidation,191.67,6.18
debt_consolidation,176.57,8.67
all_other,166.5,17.64
credit_card,520.37,16.95
debt_consolidation,272.61,3.29
home_improvement,481.42,9.63
debt_consolidation,497.46,7.34
debt_consolidation,497.46,18.28
credit_card,481.42,11.57
credit_card,495.21,23.7
debt_consolidation,487.84,11.24
all_other,191.69,5.28
credit_card,319.47,10.29
all_other,405.25,12.01
debt_consolidation,529.71,9.77
debt_consolidation,342.29,13.73
home_improvement,127.79,13.72
debt_consolidation,508.84,13.76
debt_consolidation,169.62,12.48
educational,234.27,2.46
debt_consolidation,261.35,17.5
debt_consolidation,163.57,12.48
credit_card,301.2,20.59
debt_consolidation,257.87,15.92
home_improvement,168.09,17.67
small_business,495.21,20.26
all_other,62.39,13.6
debt_consolidation,192.57,7.43
debt_consolidation,246.45,6.99
debt_consolidation,290.95,10.15
debt_consolidation,497.46,12.42
credit_card,320.95,0
credit_card,231.08,19.11
debt_consolidation,188.02,12.14
major_purchase,79.96,9.5
debt_consolidation,227.51,15.87
all_other,207.23,12.45
debt_consolidation,81.42,5.11
debt_consolidation,138.77,7.67
small_business,354.7,15.61
small_business,263.68,22.13
debt_consolidation,506.56,21.44
debt_consolidation,408.91,4.58
small_business,497.46,2.3
debt_consolidation,154.73,7.58
major_purchase,271.39,4.35
debt_consolidation,206.82,10.74
debt_consolidation,267.74,20.67
all_other,155.96,5.78
small_business,504.27,8.1
credit_card,195.87,5.52
home_improvement,134.18,3.33
small_business,327.14,5.68
small_business,330.08,11.46
all_other,495.21,9.81
debt_consolidation,295.77,7.45
debt_consolidation,525.03,19.87
credit_card,481.42,16.56
debt_consolidation,242.05,19.16
small_business,281.26,23.13
all_other,515.74,6.33
major_purchase,273.84,16.96
small_business,490.71,2.77
debt_consolidation,310.64,19.53
debt_consolidation,198.09,23.08
small_business,508.84,12.18
debt_consolidation,534.41,22.85
credit_card,515.74,11.22
credit_card,368.13,19.35
all_other,288.85,8.45
home_improvement,508.84,11.73
debt_consolidation,146.36,6
educational,170.38,20.86
all_other,319.47,0.36
debt_consolidation,203.54,4.75
debt_consolidation,342.29,15
debt_consolidation,163.57,6.38
debt_consolidation,522.7,6.52
major_purchase,206.04,13.28
small_business,492.95,7.16
credit_card,500.98,9.33
small_business,100.4,3.65
debt_consolidation,513.44,14.02
credit_card,346.92,13.96
small_business,343.83,11.26
all_other,340.76,4.95
major_purchase,56.41,0.18
debt_consolidation,231.08,12.53
debt_consolidation,401.6,11.88
major_purchase,219.36,11.79
credit_card,301.2,15.41
debt_consolidation,596.96,11.23
debt_consolidation,644.53,4.64
all_other,192.57,0.28
credit_card,497.46,6.78
debt_consolidation,348.47,20.16
debt_consolidation,602.4,11.37
all_other,497.46,4.05
debt_consolidation,354.59,7
all_other,155.96,14.09
debt_consolidation,205.38,19.67
debt_consolidation,125.35,8.97
all_other,99.95,6.44
debt_consolidation,168.86,23.12
debt_consolidation,405.25,20.5
educational,39.8,14.07
debt_consolidation,687.66,7.09
debt_consolidation,210.95,18.62
debt_consolidation,141.02,13.74
all_other,472.79,7.13
all_other,371.34,6.78
debt_consolidation,665.03,22.25
credit_card,417.23,8.16
all_other,334.67,17.76
debt_consolidation,333.15,1.42
credit_card,154.03,18.1
debt_consolidation,565.02,20.22
debt_consolidation,203.54,7.31
all_other,285.02,8.46
all_other,100.86,4.89
debt_consolidation,477.06,17.26
debt_consolidation,302.57,9.68
home_improvement,550.13,4.35
credit_card,328.1,19.81
debt_consolidation,706.5,13.88
all_other,49.75,5.62
debt_consolidation,359.81,12.68
small_business,836.66,7.9
debt_consolidation,385.14,13.14
all_other,133.26,19.81
home_improvement,185.74,23.52
debt_consolidation,248.67,15.47
debt_consolidation,577.7,4.05
debt_consolidation,508.84,11.89
educational,171.01,9.36
debt_consolidation,481.36,13.27
credit_card,169.62,15.2
debt_consolidation,236.4,18.85
small_business,403.42,22.45
credit_card,267.73,9.32
all_other,278.77,10.03
debt_consolidation,477.06,3.7
all_other,525.03,2.68
major_purchase,111.77,3.5
all_other,340.76,19.83
all_other,511.14,3.08
debt_consolidation,705.98,18.09
home_improvement,481.42,2.93
debt_consolidation,431.14,20.11
all_other,286.24,15.05
small_business,223.63,7.8
debt_consolidation,678.49,14.67
small_business,77.03,2.14
all_other,690.74,0.32
debt_consolidation,319.47,24.37
debt_consolidation,228.61,11.59
small_business,277.53,10.62
small_business,840.45,3.02
credit_card,192.57,22.46
credit_card,351.58,17.94
all_other,160.33,5.65
small_business,112.81,9.74
credit_card,303.94,21.46
all_other,125.35,12.21
debt_consolidation,90.38,10.55
debt_consolidation,168.09,11.59
debt_consolidation,525.03,22.16
credit_card,320.95,7.38
debt_consolidation,497.46,6.19
credit_card,420.02,10.54
home_improvement,382.34,18.07
debt_consolidation,108.66,7.68
credit_card,115.54,15.11
debt_consolidation,340.76,15.14
debt_consolidation,135.7,17.86
credit_card,381.52,14.5
all_other,515.74,21.54
credit_card,515.74,15.61
debt_consolidation,481.42,9.64
debt_consolidation,69.7,15.45
home_improvement,511.14,6.72
educational,200.8,11.85
debt_consolidation,183.19,18.18
debt_consolidation,219.07,16.05
debt_consolidation,525.03,22.3
small_business,150.6,22.47
debt_consolidation,527.36,7.39
small_business,160.48,0.39
small_business,520.37,11.38
major_purchase,151.29,1.95
all_other,279.36,0
small_business,174.24,7.55
debt_consolidation,192.57,9.1
small_business,219.36,3.78
small_business,313.37,2.63
debt_consolidation,206.3,18.39
debt_consolidation,205.38,16.76
debt_consolidation,320.95,19.9
all_other,178.14,14.95
debt_consolidation,407.08,17.74
small_business,385.14,22.11
debt_consolidation,487.42,23.13
credit_card,192.57,5.74
all_other,51.12,19.21
debt_consolidation,342.29,16.52
debt_consolidation,506.27,14.86
credit_card,134.54,10.08
small_business,481.42,5.65
all_other,70.61,21.77
educational,504.27,11.42
small_business,251.88,12.68
credit_card,182.34,23.68
debt_consolidation,336.18,17.26
credit_card,163.57,2.45
small_business,188.02,12.62
credit_card,188.02,16.96
debt_consolidation,215.57,8.57
home_improvement,151.97,11.5
credit_card,319.47,20.07
all_other,187.15,1.29
debt_consolidation,438.13,20.33
all_other,172.35,0.8
debt_consolidation,132.66,5.81
credit_card,82.91,17.13
credit_card,497.46,5.2
credit_card,499.56,7
all_other,169.62,8.66
all_other,182.41,19.54
debt_consolidation,212.22,12.97
debt_consolidation,518.06,23.49
major_purchase,320.95,4.08
debt_consolidation,515.74,15.81
all_other,99.95,8.25
debt_consolidation,176.65,7.52
all_other,165.82,7.14
educational,107.52,7.3
credit_card,204.89,22.2
all_other,397.97,21.36
educational,108.3,19.97
debt_consolidation,532.05,11.15
debt_consolidation,395.2,13.28
all_other,508.84,6.76
small_business,249.87,1.41
all_other,118.2,19.6
debt_consolidation,260.19,17.51
debt_consolidation,381.65,18.82
debt_consolidation,381.64,15.47
home_improvement,331.64,18.83
debt_consolidation,459.08,17.23
debt_consolidation,408.91,24.7
debt_consolidation,345.37,7.59
debt_consolidation,520.37,11.71
home_improvement,502,3.03
major_purchase,268.95,8.21
debt_consolidation,441,12.44
debt_consolidation,217.11,20.32
debt_consolidation,231.08,6.8
credit_card,471.65,18.08
debt_consolidation,215.57,23.88
home_improvement,165.82,2.23
all_other,481.42,16.97
credit_card,282.03,17.15
debt_consolidation,99.5,19.06
all_other,313.37,9.6
all_other,138.77,22.48
credit_card,231.08,20.07
credit_card,284.47,4.47
credit_card,258.68,9.63
debt_consolidation,294.88,18.57
all_other,175.79,3.73
all_other,67.55,14.54
credit_card,339.23,8.51
all_other,666.3,15.69
debt_consolidation,294.88,12
credit_card,312.23,23.8
educational,186.58,15.64
debt_consolidation,522.7,12.72
home_improvement,303.5,13.93
debt_consolidation,399.78,20.59
debt_consolidation,31.95,21.19
credit_card,481.36,17
credit_card,176.54,18.62
debt_consolidation,70.61,18.62
home_improvement,187.15,11.58
home_improvement,187.15,14.12
all_other,383.13,1.05
debt_consolidation,588.32,14.21
debt_consolidation,171.92,11.16
debt_consolidation,712.54,15.74
debt_consolidation,369.8,23.71
educational,225.01,5.76
all_other,481.42,4.24
credit_card,231.08,11.14
all_other,111.82,15.42
debt_consolidation,431.31,8.62
debt_consolidation,342.29,18.92
debt_consolidation,504.27,6.59
debt_consolidation,333.15,3
credit_card,565.02,21.46
debt_consolidation,189.96,16.04
debt_consolidation,150.85,18.54
small_business,252.14,8.92
debt_consolidation,532.05,20.15
debt_consolidation,340.76,20.29
all_other,399.78,14.27
all_other,192.57,16.78
major_purchase,375.47,5.02
debt_consolidation,167.34,23.29
debt_consolidation,675.41,9.52
debt_consolidation,275.07,24.63
all_other,60.54,14.49
credit_card,191.69,3.41
credit_card,155.96,1.07
educational,170.38,0.42
major_purchase,282.03,8.4
small_business,672.36,16.87
educational,50.43,17.32
all_other,80.32,23.73
all_other,232.15,17.95
all_other,169.62,18.92
home_improvement,308.7,7.61
educational,182.23,15.24
credit_card,199.89,11.77
debt_consolidation,236.4,5.83
home_improvement,192.57,9.92
credit_card,192.57,7.29
small_business,181.85,10.32
debt_consolidation,336.18,10.89
credit_card,247.13,24.5
debt_consolidation,195.94,18.58
credit_card,569.9,13.63
debt_consolidation,336.18,19.44
debt_consolidation,136.31,13.68
credit_card,269.84,16.37
debt_consolidation,249.78,8
home_improvement,223.63,7.5
all_other,684.58,22.24
debt_consolidation,245.35,18.57
credit_card,385.14,22.02
major_purchase,256.76,10.53
all_other,159.74,1.13
all_other,159.74,10.46
debt_consolidation,85.87,19.87
debt_consolidation,462.16,16.78
all_other,176.57,4.35
small_business,871.16,22.59
debt_consolidation,280.02,22.18
credit_card,238.96,18
all_other,675.41,16.56
credit_card,167.34,16.55
debt_consolidation,417.25,22.08
small_business,61.62,15.68
all_other,405.25,17.96
credit_card,545.21,10.95
credit_card,31.2,2.82
debt_consolidation,379.91,10.87
all_other,100.4,17.8
debt_consolidation,106.61,5.04
all_other,669.33,10.56
all_other,55.89,7.25
debt_consolidation,690.74,10.43
all_other,137.54,8.26
debt_consolidation,427.53,16.53
home_improvement,333.15,11.77
debt_consolidation,340.76,24.91
all_other,191.69,9.73
debt_consolidation,693.83,16.54
debt_consolidation,290.07,10.76
debt_consolidation,481.36,21.21
home_improvement,262.21,4.41
debt_consolidation,401.6,20.15
small_business,268.95,4.97
debt_consolidation,399.78,17.7
debt_consolidation,200.8,24.71
home_improvement,102.23,17.63
debt_consolidation,466.41,0.32
debt_consolidation,515.74,11.48
debt_consolidation,408.91,13.46
all_other,374.84,14.8
debt_consolidation,141.26,9.72
small_business,399.78,19.38
debt_consolidation,271.39,21.68
credit_card,219.36,8.22
debt_consolidation,590.26,13.38
home_improvement,168.43,10.53
major_purchase,174.24,11.67
small_business,278.74,16.59
small_business,855.73,7.82
debt_consolidation,41.08,8.28
credit_card,197.82,11.16
all_other,385.14,4.32
credit_card,168.5,20.16
credit_card,117.15,15.75
all_other,101.32,17.86
debt_consolidation,537.89,19.26
all_other,766.73,7.78
debt_consolidation,408.91,20.4
small_business,222.03,23.24
debt_consolidation,527.36,6.19
debt_consolidation,159.74,20.35
small_business,168.09,13
debt_consolidation,638.46,22.98
major_purchase,171.92,13.5
all_other,116.61,15.07
all_other,96.29,18.88
all_other,31.95,20.37
debt_consolidation,405.25,14.07
home_improvement,102.69,21.01
credit_card,266.52,0
all_other,530.63,3.06
home_improvement,693.83,9.76
debt_consolidation,110.73,8.83
small_business,504.27,0.26
debt_consolidation,288.85,22.45
debt_consolidation,515.74,12.25
all_other,134.48,9.73
debt_consolidation,357.81,5.8
small_business,99.5,18.28
debt_consolidation,277.53,6.26
debt_consolidation,340.76,18.2
debt_consolidation,261.35,24.61
major_purchase,302.57,18.83
educational,208.62,3.75
all_other,533.04,17.8
debt_consolidation,174.03,9.17
major_purchase,170.38,24.07
all_other,69.86,6.83
home_improvement,254.42,6.76
all_other,638.46,10.91
credit_card,198.59,12.6
all_other,50.43,17.65
major_purchase,206.3,14.75
debt_consolidation,410.75,13.73
debt_consolidation,420.02,14.21
all_other,46.86,14.29
credit_card,302.57,19.22
debt_consolidation,506.56,13.14
debt_consolidation,95.85,6.9
debt_consolidation,700.04,15.1
home_improvement,342.29,24.7
debt_consolidation,535.46,21.7
all_other,191.69,4.08
debt_consolidation,227.29,14.21
debt_consolidation,100.86,18.58
small_business,312.08,18.58
debt_consolidation,672.36,19.12
all_other,47.01,14.73
debt_consolidation,202.63,23.77
debt_consolidation,270.17,11.44
all_other,114.82,9.67
debt_consolidation,370.8,9.97
all_other,237.46,4.73
debt_consolidation,245.35,22.13
debt_consolidation,100.28,5.79
debt_consolidation,342.29,7.95
all_other,69.39,22.99
credit_card,385.14,9.14
debt_consolidation,270.17,19.51
all_other,188.02,1.06
educational,89.8,5.3
small_business,318.54,24.52
small_business,207.23,14
all_other,339.23,5.59
all_other,200.56,11.4
small_business,172.69,6.79
credit_card,472.79,19.24
debt_consolidation,584.92,22.76
major_purchase,127.79,0.59
all_other,159.92,16.72
debt_consolidation,302.57,5.94
debt_consolidation,241.76,17.28
major_purchase,331.64,11.86
small_business,678.46,5.02
all_other,223.63,18.5
credit_card,222,12.74
all_other,232.15,7.04
debt_consolidation,70.29,24.63
debt_consolidation,201.71,11.95
all_other,268.36,1.05
debt_consolidation,550.13,20.54
small_business,449.32,14.59
small_business,203.69,3.24
small_business,340.76,16.58
debt_consolidation,690.74,15.27
debt_consolidation,468.54,20.36
small_business,168.86,10.98
debt_consolidation,207.23,4.96
all_other,618.89,7.89
debt_consolidation,638.75,16.25
major_purchase,124.77,5.7
all_other,401.6,13.75
all_other,644.12,14.42
all_other,156.12,11.78
small_business,270.17,20.07
debt_consolidation,408.91,11.7
debt_consolidation,678.46,7.28
all_other,199.89,15.22
debt_consolidation,515.74,8.21
all_other,77.62,0.39
debt_consolidation,565.02,10.39
debt_consolidation,155.3,7.92
debt_consolidation,308.06,24.92
debt_consolidation,268.95,14.2
debt_consolidation,407.08,13.7
debt_consolidation,681.51,20.1
home_improvement,305.31,21.91
all_other,111.82,13.5
home_improvement,385.02,13.94
debt_consolidation,320.95,15.88
debt_consolidation,188.02,5.07
debt_consolidation,414.45,4.62
all_other,301.2,0.9
credit_card,171.55,10.32
debt_consolidation,174.24,22.92
debt_consolidation,320.95,9.44
small_business,203.54,4.62
debt_consolidation,429.41,2.71
debt_consolidation,51.81,20.35
home_improvement,31.34,9.21
small_business,272.61,10.54
major_purchase,112.29,10.54
all_other,184.07,22.72
debt_consolidation,847.53,14.93
debt_consolidation,508.84,14.06
credit_card,488.49,10.35
all_other,64.72,10.48
debt_consolidation,172.35,18.76
all_other,201.71,15.29
credit_card,520.37,15.43
all_other,297.7,0.15
debt_consolidation,342.29,6.86
all_other,261.71,22.98
debt_consolidation,331.56,20.88
small_business,48.79,5.07
debt_consolidation,189.96,21.33
debt_consolidation,529.05,11.76
credit_card,295.13,20.43
home_improvement,222.49,11.59
debt_consolidation,398.6,16.4
home_improvement,62.1,2.38
debt_consolidation,224.66,7.85
all_other,94.01,5.49
all_other,256.76,9.03
debt_consolidation,203.69,6.59
educational,39.98,4.54
debt_consolidation,320.95,2.47
all_other,191.69,1.33
home_improvement,232.37,11.62
home_improvement,181.54,1.72
credit_card,315.2,15.85
all_other,216.13,12.45
debt_consolidation,191.69,10.77
credit_card,272.61,12.78
debt_consolidation,533.04,10.74
small_business,356.25,17.71
small_business,309.57,0.92
all_other,632.84,8.66
debt_consolidation,340.76,21.66
all_other,123.06,23.45
debt_consolidation,167.32,19.68
credit_card,116.08,11.68
debt_consolidation,381.61,7.78
all_other,521.57,1.15
debt_consolidation,692.29,20.06
major_purchase,272.61,11.43
debt_consolidation,276.3,6.42
debt_consolidation,401.6,11.15
debt_consolidation,331.64,21.95
small_business,534.41,0.38
debt_consolidation,545.61,14.71
all_other,373.15,13.65
all_other,125.35,2.77
all_other,160.48,11.12
home_improvement,266.36,6.75
home_improvement,168.86,23.26
credit_card,312.38,21.9
all_other,263.89,19.83
all_other,31.2,9.77
home_improvement,421.89,0.33
credit_card,351.42,19.15
debt_consolidation,342.29,3.92
all_other,333.15,19.2
small_business,335.63,9.51
small_business,337.71,17.37
all_other,119.94,0.6
all_other,167.27,9.98
major_purchase,224.58,16.72
debt_consolidation,441.84,10.82
debt_consolidation,339.23,8.54
all_other,605.13,7.29
debt_consolidation,331.64,21.54
educational,81.05,19.1
debt_consolidation,574.1,16.87
all_other,340.76,23.69
all_other,135.7,15.06
all_other,322.88,12.07
home_improvement,313.37,0.49
small_business,385.14,6.76
all_other,334.67,10.38
educational,836.66,16.24
major_purchase,193.4,8.26
small_business,669.33,0.68
credit_card,405.25,7.14
debt_consolidation,435.07,17.11
small_business,255.57,9.86
debt_consolidation,192.57,4.99
home_improvement,350.02,7.62
credit_card,780.34,14.96
debt_consolidation,412.6,7.91
all_other,188.02,8.95
debt_consolidation,405.62,20.96
debt_consolidation,401.6,16.26
major_purchase,165.82,18.13
all_other,147.67,21.69
debt_consolidation,86.35,19.08
debt_consolidation,504.27,12.92
all_other,185.35,7.15
all_other,221.5,23.37
debt_consolidation,276.3,24.08
home_improvement,292.26,6.11
debt_consolidation,87.02,19.2
debt_consolidation,167.73,3.22
credit_card,224.66,3.19
debt_consolidation,374.6,23.33
debt_consolidation,168.86,0.12
home_improvement,290.95,1
debt_consolidation,171.15,6.2
all_other,718.84,16.93
debt_consolidation,198.99,22.58
debt_consolidation,532.05,7.93
small_business,166.58,17.56
credit_card,298.48,8.84
home_improvement,143.77,4.62
debt_consolidation,207.66,12.08
debt_consolidation,504.27,12.46
all_other,399.78,20.33
major_purchase,63.9,5.71
all_other,684.58,19.27
all_other,499.73,17.84
debt_consolidation,240.15,13.35
all_other,248.74,11.36
all_other,281.26,2.31
debt_consolidation,527.36,7.88
small_business,567.52,0.26
debt_consolidation,693.83,15.32
debt_consolidation,552.59,9.13
home_improvement,836.66,2.86
debt_consolidation,498.55,18.04
debt_consolidation,287.05,12.27
all_other,248.37,2.77
debt_consolidation,188.02,6.44
debt_consolidation,447.78,12.72
credit_card,160.48,15.4
credit_card,348.23,6.02
all_other,51.81,1.04
small_business,159.74,17.57
small_business,530.63,2.61
small_business,274.45,21.88
